customer_id,full_name,email,phone,address,service_plan,connection_type,monthly_fee,data_usage_gb,avg_speed_mbps,promised_speed,uptime_percentage,payment_status,last_payment_date,contract_start_date,active_tickets,ticket_type,ticket_status,last_ticket_date,customer_satisfaction
CUST000001,Latoya Bartlett,sscott@example.org,+1-230-319-9946,"2625 Hamilton Mill Apt. 514
Mooneymouth, NH 85234",Basic,Satellite,38.14,371.74,35.8,55.29,94.14,Paid,2023-06-03,2023-03-16,1,Service Request,Closed,2024-05-16,10.0
CUST000002,Mark Ryan,courtney34@example.net,713-314-3019x937,"9321 Jason Prairie Apt. 960
Tylerbury, TX 16702",Basic,Cable,41.69,252.89,70.61,82.45,98.79,Pending,2024-09-27,2024-06-10,0,Billing Query,Open,2024-06-23,10.0
CUST000003,Cynthia House,christopher90@example.net,001-440-312-4493x252,"3138 Santos Run Suite 885
Justinhaven, IL 57483",Basic,Fiber,41.34,805.84,72.01,66.3,99.15,Paid,2024-12-08,2023-09-28,0,Technical Issue,In Progress,2024-09-17,10.0
CUST000004,Kyle Mitchell,sanfordsandra@example.com,(495)855-0439x16843,"USCGC Holt
FPO AE 91015",Standard,DSL,65.41,834.08,184.24,253.08,95.54,Pending,2024-07-03,2024-05-26,2,Service Request,Closed,2024-10-24,10.0
CUST000005,Leah Mullen,mhardy@example.net,530.719.1981,"86792 John Oval
Hensonville, PW 93934",Enterprise,DSL,151.41,524.49,524.1,674.49,95.99,Paid,2024-09-01,2024-06-19,2,Service Request,Closed,2024-12-18,10.0
CUST000006,Deborah Campbell,garciamichael@example.com,001-664-840-7690x5373,"493 Bailey Course Apt. 117
Berrystad, PR 62581",Premium,DSL,112.58,882.83,334.39,411.41,97.62,Paid,2024-06-21,2024-05-19,0,Connection Problem,Open,2024-07-01,10.0
CUST000007,Cynthia White,clarklisa@example.org,202.812.8929,"36030 Todd Mill
Port Kennethmouth, WI 61647",Basic,Cable,35.03,327.52,84.96,89.19,97.88,Paid,2023-07-25,2023-05-07,0,Technical Issue,In Progress,2023-10-15,10.0
CUST000008,Brian Mitchell,thorton@example.org,2314753091,"81393 Marc Prairie Suite 309
Lake Alisonfurt, WI 97449",Enterprise,Cable,194.05,220.93,820.26,831.81,99.21,Paid,2024-12-10,2023-11-06,0,Connection Problem,Open,2024-08-24,10.0
CUST000009,Courtney Frederick,salasmonica@example.com,(347)385-8442,"Unit 7844 Box 5385
DPO AA 20419",Basic,Satellite,41.26,671.26,40.71,53.53,95.36,Pending,2024-08-29,2024-05-13,0,Connection Problem,Closed,2024-10-27,10.0
CUST000010,Krystal Ashley,ymorales@example.net,2647300090,"3611 William Forge
Isabelhaven, FL 72387",Standard,Fiber,54.82,53.94,219.18,212.05,99.03,Pending,2024-11-08,2024-08-03,0,Connection Problem,Resolved,2024-12-12,10.0
CUST000011,Sandra Jackson,fknox@example.org,+1-814-583-4508,"2348 Jason Drive Suite 482
Katieview, AK 24537",Premium,Cable,85.16,82.19,354.88,365.01,99.37,Paid,2023-03-04,2023-02-04,0,Service Request,Closed,2023-12-30,10.0
CUST000012,Brianna Jacobs,melissarhodes@example.org,823-760-1875,"787 Weeks Junction
South Bonniefurt, OR 25193",Basic,Cable,45.98,921.66,86.12,93.54,97.53,Paid,2024-11-04,2024-06-03,0,Billing Query,In Progress,2024-08-19,10.0
CUST000013,Kara Hill,oavila@example.org,+1-245-251-9719,"464 Harris Brook Apt. 423
Valdezfort, KY 51886",Basic,Cable,44.78,845.66,44.82,55.26,97.29,Paid,2024-11-30,2024-11-13,0,Billing Query,Closed,2024-11-28,10.0
CUST000014,Brenda Barrera,stephen80@example.org,+1-971-413-9310,"218 Cindy Creek Apt. 837
West Nicholasmouth, TX 26895",Premium,Satellite,106.24,511.33,309.42,467.18,96.96,Paid,2024-07-11,2023-09-29,0,Service Request,Resolved,2024-11-19,10.0
CUST000015,Amanda Lee,wlittle@example.org,001-689-671-9046,"878 King Union
Williamsport, ID 70691",Enterprise,Satellite,188.13,850.9,504.43,758.04,95.18,Pending,2024-11-29,2023-04-08,2,Billing Query,Closed,2023-05-12,9.64
CUST000016,Kenneth Ryan,harrismegan@example.net,952.229.2776x03619,"0358 Brian Highway
Nicholashaven, MN 02800",Enterprise,DSL,162.91,67.06,535.54,716.06,96.59,Paid,2024-08-10,2024-06-16,0,Service Request,Open,2024-07-08,10.0
CUST000017,Melissa Daugherty,lfisher@example.net,776.297.5651x05238,"19122 Ashley Spurs
New Yolandaburgh, NH 29438",Basic,Cable,30.48,504.63,67.68,72.09,97.37,Paid,2023-10-06,2023-06-22,0,Billing Query,Closed,2024-02-17,10.0
CUST000018,Christy Day,andrew70@example.net,001-346-373-9761x84850,"48352 Thomas Turnpike Apt. 230
New Brendanchester, DC 71241",Standard,Fiber,62.08,91.04,185.15,190.36,99.72,Paid,2023-06-11,2023-05-28,0,Billing Query,Closed,2024-07-02,10.0
CUST000019,Mrs. Laurie Short,bensonlaura@example.net,4384559220,"187 Baker View
Port Cynthiaview, IN 65175",Premium,Cable,113.72,929.81,257.28,304.38,97.83,Paid,2024-04-28,2024-04-18,0,Technical Issue,Resolved,2024-08-27,10.0
CUST000020,Jose Knox,mark81@example.com,212-715-8654x861,"20498 Richard Ville
West Courtneyfurt, MO 80005",Premium,Fiber,108.64,979.56,321.29,352.46,99.0,Pending,2024-11-27,2024-07-27,0,Technical Issue,Resolved,2024-11-19,10.0
CUST000021,Mitchell Graham,kevin72@example.org,+1-289-981-2240x94125,"8945 Sonya Glens Suite 405
Cameronborough, TN 69744",Enterprise,Fiber,131.97,573.98,902.21,961.92,99.59,Paid,2024-09-22,2023-06-12,0,Connection Problem,In Progress,2024-12-17,10.0
CUST000022,Charlene Zuniga,amylong@example.com,307.988.4974x96238,"14978 Kelly Vista
Michaelside, WI 10368",Premium,Satellite,87.5,429.45,311.99,457.98,95.06,Pending,2024-02-20,2023-04-03,0,Service Request,In Progress,2023-10-11,10.0
CUST000023,Elizabeth Ross,stephenanderson@example.com,(805)754-0201x26810,"490 Martinez Squares
Bernardtown, FL 77762",Enterprise,Fiber,164.3,271.84,712.42,772.04,99.23,Paid,2024-11-09,2024-10-11,0,Service Request,Resolved,2024-11-22,10.0
CUST000024,Adriana Wallace,cruzkelly@example.org,001-994-494-5811,"9845 Hall Crescent Suite 840
Brendaport, VA 44183",Standard,Satellite,54.94,51.49,180.11,253.42,96.09,Paid,2024-12-15,2024-12-13,0,Service Request,Open,2024-12-20,10.0
CUST000025,Christopher Parsons,ayalaalyssa@example.com,964.588.4509,"482 Heather Road Suite 910
South Lisa, TX 16558",Basic,Cable,43.75,874.11,84.37,89.39,97.86,Paid,2023-07-26,2023-06-19,3,Technical Issue,Closed,2024-07-11,10.0
CUST000026,Andre Sanders,perezmark@example.com,7302983559,"8610 Daniel Causeway
Monicachester, VI 32625",Enterprise,Fiber,123.54,391.47,607.03,566.45,99.84,Paid,2024-11-09,2024-02-02,0,Service Request,Closed,2024-03-06,10.0
CUST000027,Robert Valencia,djohnson@example.org,+1-867-825-0578x88576,"24560 Baker Port
Port Robertshire, SC 01406",Enterprise,Fiber,153.82,621.05,738.8,707.53,99.74,Paid,2023-12-18,2023-11-18,0,Connection Problem,Closed,2024-02-13,10.0
CUST000028,Thomas Livingston,dolson@example.net,681-668-3897x526,"842 Debra Mountain
Port Danielleburgh, WV 73720",Standard,DSL,61.52,685.62,159.66,201.18,95.27,Paid,2024-10-31,2024-09-02,0,Billing Query,Open,2024-12-15,10.0
CUST000029,Dean Bishop,sanchezthomas@example.org,(533)684-1477x920,"59200 Keith Extension
Brittanyton, GU 36999",Premium,Satellite,87.49,715.54,302.36,477.74,97.4,Paid,2024-03-17,2024-02-03,0,Billing Query,Resolved,2024-03-05,10.0
CUST000030,Adam Bailey IV,fmiller@example.org,(231)585-7554,"71219 Schmitt Spring Apt. 412
North Pamelaside, NV 76710",Basic,Cable,40.25,602.23,80.88,88.59,97.07,Pending,2024-05-19,2022-12-22,0,Billing Query,Closed,2024-01-04,10.0
CUST000031,Laura Norton,jamestara@example.net,001-998-404-0791,"0362 Burke Parkways Suite 740
Jenniferfurt, VA 53525",Enterprise,Fiber,180.15,100.43,1040.63,970.93,99.63,Pending,2024-11-28,2023-08-21,0,Connection Problem,In Progress,2024-07-12,10.0
